id,geopos,apartments,price,year
1198,"{'type': 'Point', 'coordinates': [37.540955, 55.547479]}",251,262048.0,2002
1199,"{'type': 'Point', 'coordinates': [37.541611, 55.546297]}",255,246725.0,2002
1200,"{'type': 'Point', 'coordinates': [37.539311, 55.546012]}",419,198696.0,2002
1201,"{'type': 'Point', 'coordinates': [37.53985, 55.54725]}",102,282850.0,2002
1202,"{'type': 'Point', 'coordinates': [37.539158, 55.545375]}",306,220943.0,2003
1203,"{'type': 'Point', 'coordinates': [37.540623, 55.544092]}",208,246490.0,2003
1204,"{'type': 'Point', 'coordinates': [37.539922, 55.543766]}",178,302376.0,2003
1205,"{'type': 'Point', 'coordinates': [37.539194, 55.54344]}",118,266351.0,2003
1206,"{'type': 'Point', 'coordinates': [37.540488, 55.542997]}",90,196747.0,1996
1207,"{'type': 'Point', 'coordinates': [37.541234, 55.542049]}",54,321514.0,1995
1208,"{'type': 'Point', 'coordinates': [37.542491, 55.54375]}",139,267841.0,1995
1209,"{'type': 'Point', 'coordinates': [37.544342, 55.543638]}",92,223427.0,1995
1210,"{'type': 'Point', 'coordinates': [37.545527, 55.544494]}",204,193996.0,1995
1211,"{'type': 'Point', 'coordinates': [37.548941, 55.547535]}",365,294688.0,1994
1212,"{'type': 'Point', 'coordinates': [37.546399, 55.548227]}",312,267955.0,1993
1213,"{'type': 'Point', 'coordinates': [37.545968, 55.547056]}",417,253129.0,1994
1214,"{'type': 'Point', 'coordinates': [37.545402, 55.549261]}",556,313030.0,1994
1215,"{'type': 'Point', 'coordinates': [37.552067, 55.551023]}",187,293058.0,1994
1216,"{'type': 'Point', 'coordinates': [37.549696, 55.548772]}",361,198112.0,1994
1217,"{'type': 'Point', 'coordinates': [37.551402, 55.548176]}",376,218273.0,1994
1218,"{'type': 'Point', 'coordinates': [37.5539, 55.549429]}",332,208048.0,1994
1219,"{'type': 'Point', 'coordinates': [37.552337, 55.549582]}",240,286130.0,1994
1220,"{'type': 'Point', 'coordinates': [37.556208, 55.550723]}",181,177128.0,2001
